address,neighborhood,building_name
8750 greenwood ave n,Greenwood-Phinney Ridge,WESTVIEW AT GREENWOOD CONDOMINIUM
1340 n 79th st,Outside Villages,GREENLAKE MANOR
8124 rainier ave s,Outside Villages,ROSE STREET APARTMENTS
308 melrose ave e,Capitol Hill,LA VEDA(0005) CONDOMINIUM
2225 1st ave,Belltown,APEX HOTEL CONDOMINIUM
2315 w boston st,Outside Villages,APARTMENT
5031 martin luther king jr way s,Outside Villages,NUUANU PALI APTS
715 24th ave,23rd & Union-Jackson,GARFIELD CONDOMINIUM
718 6th ave s,Chinatown-International District,NIKKEI MANOR
519 7th ave s,Chinatown-International District,GEE HOW OAK TIN
5000 14th ave nw,Ballard-Interbay-Northend,6 UNIT APT & DUPLEX & TRIPLEX
1009 n 36th st,Fremont,congregate residence
914 e jefferson st,12th Avenue,ARCHBISHOP THOMAS MURPHY VILLAGE
220 10th ave,12th Avenue,MICRO APARTMENTS
2520 32nd ave w,Outside Villages,MAGNOLIA COURT APTS
2480 birch ave n,Outside Villages,Domaine - Imps carried on 0715
901 12th ave,12th Avenue,S U - LOYOLA
4017 whitman ave n,Wallingford,WHITMAN APARTMENT
3615 whitman ave n,Fremont,3615 WHITMAN
7544 martin luther king jr way s,Othello,APARTMENT (10 UNITS) & MADINA MINI MARKET
321 10th ave,12th Avenue,HILL HOUSE APTS
100 martin luther king jr way,Outside Villages,APARTMENT BLDG 12 UNITS
4417 evanston ave n,Outside Villages,Elizabeth M Apts
4468 linden ave n,Outside Villages,APARTMENT
2400 aurora ave n,Outside Villages,WINDWATCH TOWNHOUSES CONDOMINIUM
300 n 130th st,Bitter Lake Village,VERIDIAN COVE
2356 15th ave s,North Beacon Hill,RICKSHAW APT
822 queen anne ave n,Outside Villages,CASTLE COURT APT 22 UNIT
1100 s massachusetts st,Outside Villages,SKYLINE
2810 16th ave s,North Beacon Hill,BEACON (THE) CONDOMINIUM
1401 s holgate st,North Beacon Hill,BEACON FLATS
843 hiawatha pl s,23rd & Union-Jackson,Hiawatha Lofts
712 26th ave,23rd & Union-Jackson,APTS
,Othello,
8620 3rd ave nw,Greenwood-Phinney Ridge,NEWLAND CONDO
708 6th ave n,Uptown,STREAM UPTOWN
8340 rainier ave s,Rainier Beach,Valley Commons
275 w roy st,Uptown,COURTYARD AT QUEEN ANNE SQUARE CONDOMINIUM
2103 queen anne ave n,Upper Queen Anne,SWEETBRIAR APTS (MIXED USE)
2101 1st ave,Belltown,GUIRY/SCHILLISTAD CONDOMINIUM
8708 rainier ave s,Rainier Beach,STARLITER
2530 14th ave s,North Beacon Hill,Beacon Crest Apts
5701 airport way s,Greater Duwamish,FORSYTH HOTEL & CALAMITY JANE'S RESTAURANT
530 s cloverdale st,South Park,L & W APARTMENTS
3605 34th ave s,North Rainier,Rainier Court Phase 2 and 3
1515 e yesler way,23rd & Union-Jackson,MIDORI CONDOMINIUM
1330 12th ave s,Outside Villages,APARTMENTS
714 lakeside ave s,Outside Villages,TRINITY SHORES APTS
718 cherry st,First Hill,Bradbury
804 james st,First Hill,BAY RIDGE COURT
3642 33rd ave s,North Rainier,The Dakota at Rainier Court
202 6th ave s,Chinatown-International District,INTERNATIONAL TERRACE-EXEMPT
621 w galer st,Outside Villages,QUEEN VIEW APTS
900 s jackson st,Chinatown-International District,PACIFIC RIM CENTER
3801 s juneau st,Othello,JUNEAU STREET APTS
1609 nw 85th st,Crown Hill,THE WEDGE APTS
13826 greenwood ave n,Outside Villages,NORTH GREENWOOD APARTMENTS
114 n 45th st,Outside Villages,12 UNIT APT & DUPLEX
6032 lanham pl sw,Outside Villages,HIGHPOINT COMMUNITY
1140 alki ave sw,Outside Villages,DUWAMISH HEAD CONDOMINIUM
4209 30th ave sw,West Seattle Junction,THE SPAR APTS
901 6th ave,Commercial Core,DOVER APTS
1661 harbor ave sw,Outside Villages,POINT ELLIOTT CONDOMINIUM
8424 16th ave sw,Outside Villages,FLORENCE OF SEATTLE
212 alaskan way s,Pioneer Square,OK HOTEL APTS
8412 delridge way sw,Westwood-Highland Park,Delview Apts
5915 delridge way sw,Outside Villages,LONGFELLOW CREEK
2401 sw brandon st,Outside Villages,BRANDON COURT CONDOMINIUM
901 8th ave,First Hill,LANDES APARTMENTS
3213 harbor ave sw,Outside Villages,VERGE CONDOMINIUM
1009 western ave,Commercial Core,WATERFRONT PLACE BUILDING RESIDENTIAL CONDOMINIUM
1531 1st ave,Commercial Core,MARKET HOUSE CONDOMINIUM
7429 rainier ave s,Outside Villages,ADMIRAL APTS
4717 44th ave sw,West Seattle Junction,APTS
6533 california ave sw,Morgan Junction,MARNAE APTS
,Othello,Holly Park Redevelopment
1534 alki ave sw,Outside Villages,SONATA AT ALKI CONDOMINIUM
1213 sw holden st,Outside Villages,HOLDEN MANOR
,West Seattle Junction,West Seattle Junction - East Building
2734 high point dr sw,Outside Villages,
4208 beach dr sw,Outside Villages,APT BLDG 11-UNIT
9025 35th ave sw,Outside Villages,THE WESTWOOD APTS & RETAIL
512 s weller st,Chinatown-International District,UWAJIMAYA VILLAGE
5941 california ave sw,Morgan Junction,SEAROSE CONDOMINIUM
1226 alki ave sw,Outside Villages,1226 ALKI AVE SW CONDOMINIUM
8111 8th ave s,South Park,11 UNIT APT
5001 california ave sw,West Seattle Junction,ADELAIDE CONDOMINIUM
8623 palatine ave n,Greenwood-Phinney Ridge,Piper Village
606 2nd ave,Pioneer Square,Corona Lofts
1521 2nd ave,Commercial Core,FIFTEEN TWENTY-ONE SECOND AVENUE CONDOMINIUM
4546 45th ave sw,West Seattle Junction,SIBERAY APTS
4500 36th ave sw,West Seattle Junction,BARI APTS
1415 2nd ave,Commercial Core,NEWMARK TOWER CONDOMINIUM (air rights portion-60%
200 aloha st,Outside Villages,23 UNIT APARTMENT
800 2nd ave n,Outside Villages,TWIN BIRCHES APTS
9231 35th ave sw,Outside Villages,WESTCREST APARTMENTS
11524 stone ave n,Outside Villages,Aki Kurose
2720 alki ave sw,Outside Villages,ALKI SHORES APTS/ ALKI CAFE/ LIBERTY DELI
7792 highland park way sw,Outside Villages,The Overlook
8530 mary ave nw,Crown Hill,BLUE RIDGE COURT
4023 california ave sw,Outside Villages,VILLA LISA APT
3661 24th pl w,Outside Villages,ELDORADO NO. 04 CONDOMINIUM
1635 queen anne ave n,Upper Queen Anne,QUEEN ANNE APTS
123 queen anne ave n,Uptown,CARRARA CONDOMINIUM
815 pine st,Denny Triangle,PREMIERE ON PINE apt tower
3203 nw 64th st,Outside Villages,JO LAMAR APTS
4422 francis ave n,Outside Villages,4422 Francis Ave Apts
3047 24th ave w,Outside Villages,12 UNIT APARTMENT
6609 sw admiral way,Outside Villages,SOUNDCREST APTS
5711 24th ave nw,Ballard,BALLARD WEST (former OLD SEATTLE PUBLIC LIBRARY Si
8501 greenwood ave n,Greenwood-Phinney Ridge,BRATTAIN BUILDING
1124 n 92nd st,Aurora-Licton Springs,GREENLAKE POINTE NORTH
12700 greenwood ave n,Outside Villages,THE GREENWOOD
301 n greenwood cir,Outside Villages,APT
1526 44th ave sw,Outside Villages,44TH AV APTS
10544 whitman ave n,Aurora-Licton Springs,2-9 UNIT APT
4718 41st ave sw,West Seattle Junction,CITY WATCH APTS
84 union st,Commercial Core,Marketside Flats Apts & Rest.
500 w olympic pl,Outside Villages,500 WEST OLYMPIC PLACE CO-OP
2465 dexter ave n,Outside Villages,APARTMENT
320 cedar st,Belltown,WATERMARKE AT THE REGRADE
2217 3rd ave,Belltown,2217 3rd Avenue
3101 1st ave,Belltown,First & Denny Apts.
1921 3rd ave,Belltown,HADDON HALL
8015 greenwood ave n,Greenwood-Phinney Ridge,THREE CROWNS CONDOMINIUM
1210 alki ave sw,Outside Villages,BAY VILLA ALKI BEACH CONDOMINIUM
1427 3rd ave w,Upper Queen Anne,WIMBLEDON APARTMENTS
4503 35th ave sw,West Seattle Junction,APARTMENT
666 w olympic pl,Outside Villages,OLYMPIC PLACE CONDOMINIUM
3204 sw morgan st,Outside Villages,BRIDGE PARK HOLIDAY RETIREMENT
1020 5th ave n,Outside Villages,AQUA TERRACE APARTMENT
1605 5th ave n,Outside Villages,HILLSIDE HOUSE CONDOMINIUM
3211 sw avalon way,West Seattle Junction,GOLDEN TEE APTS
11535 greenwood ave n,Outside Villages,OLYMPIC WEST CONDOMINIUM
13030 linden ave n,Bitter Lake Village,THE CAMBRIDGE - Linden Place at Bitter Lake
14359 linden ave n,Bitter Lake Village,THE WOODLAND POINTE APTS
2600 nw 56th st,Ballard,LINNEA THE CONDOMINIUM
3150 w government way,Outside Villages,BLUE HERON
6935 delridge way sw,Outside Villages,LAM-BOWS APTS
4040 26th ave sw,Outside Villages,YOUNGSTOWN FLATS
2551 thorndyke ave w,Outside Villages,MONTERRA AT MAGNOLIA CONDOMINIUM
4821 fauntleroy way sw,West Seattle Junction,THUNDERBIRD APTS
1301 1st ave,Commercial Core,Harbor Steps NE site
810 taylor ave n,Uptown,RENAISSANCE ON QUEEN ANNE CONDOMINIUM
1500 4th ave,Commercial Core,SEABOARD BUILDING CONDOMINIUM
4501 sw admiral way,Admiral,LIMROCK APT
5615 24th ave nw,Ballard,METROPOLE CONDOMINIUM
2558 dexter ave n,Outside Villages,MARI JAN APTS
4301 stone way n,Wallingford,The Noble
3625 woodland park ave n,Fremont,Velo Fremont Apartments
3413 gilman ave w,Outside Villages,MAGNOLIA VIEW CREST CONDOMINIUM
9515 interlake ave n,Aurora-Licton Springs,LICTON SPRINGS APT
4323 evanston ave n,Outside Villages,EVANSTON PLACE  APTS
912 n 96th st,Aurora-Licton Springs,WIN-DON APTS
3425 14th ave w,Outside Villages,NICHOLAS APTS
3250 15th ave w,Outside Villages,CINEBAR APTS
100 aloha st,Outside Villages,ALOHA HOUSE APARTMENTS
2801 1st ave,Belltown,ELLINGTON THE CONDOMINIUM
1903 n 46th st,Wallingford,VERAH APTS
2521 western ave,Belltown,WALTON LOFTS (FRMR SKYWAY LUGGAGE PRKG)
306 blanchard st,Belltown,CORNELIUS APTS
588 bell st,Belltown,Insignia
912 3rd ave w,Outside Villages,HILL HOUSE CONDOMINIUM
2207 w raye st,Outside Villages,MAGNOLIA COURT
1950 26th ave w,Outside Villages,APARTMENT
1433 nw 64th st,Ballard,32 UNIT APT
5615 phinney ave n,Outside Villages,PARKSIDE APARTMENTS
10507 aurora ave n,Aurora-Licton Springs,AURORA SUPPORTIVE HOUSING
3835 34th ave w,Outside Villages,CARLETON COURT - 11 UNIT
1306 1st ave w,Upper Queen Anne,THE HILCAN APT
4346 university way ne,University District Northwest,BARTELL DRUGS & APARTMENTS
325 1st ave n,Uptown,Mixed Use Apartment
756 john st,South Lake Union,COMPASS ON DEXTER DEVELOPMENT SITE
116 warren ave n,Uptown,CENTRE COURT
2040 13th ave w,Outside Villages,CITADEL THE CONDOMINIUM
3256 nw 54th st,Outside Villages,GOLDEN SUNSET APTS
732 n 95th st,Aurora-Licton Springs,14 UNIT APT
6001 24th ave nw,Ballard,16 UNIT APT
9056 mary ave nw,Crown Hill,AVAVIEW
3710 27th pl w,Outside Villages,WINDY HILLS CONDOMINIUM
18 dravus st,Outside Villages,ASHBURY CONDOMINIUM
633 4th ave w,Uptown,MARIANNE APTS
15 ward st,Outside Villages,HILLSIDE HOUSE APTS 10 UNIT
622 1st ave w,Uptown,MONTEREY APTS
5325 ballard ave nw,Ballard,SANBORN & NEW HOME HOTEL BUILDINGS
2727 w manor pl,Outside Villages,MAGNOLIA CREST APT
2023 13th ave w,Outside Villages,11 UNIT APARTMENT BUILDINGalso sits on -2510
1425 dexter ave n,South Lake Union,NAUTICA CONDOMINIUM
13732 midvale ave n,Bitter Lake Village,MIDVALE NORTH I(0005) CONDOMINIUM
13000 linden ave n,Bitter Lake Village,Senior Apartments
3940 wallingford ave n,Outside Villages,WALLINGFORD GARDEN
1530 nw 57th st,Ballard,SUNRISE MANOR
922 n 104th st,Aurora-Licton Springs,OAK TREE TERRACE
6321 seaview ave nw,Outside Villages,POINT SHILSHOLE CONDOMINIUM
939 n 101st st,Aurora-Licton Springs,939 CONDOMINIUM
1623 taylor ave n,Outside Villages,CRESTVIEW APTS
1415 1st ave n,Outside Villages,16 UNIT APT
520 3rd ave w,Uptown,MERVUE APTS
6100 24th ave nw,Ballard,DALY MANOR 16 UNIT
5901 20th ave nw,Ballard,5901 APARTMENTS
2250 nw 59th st,Ballard,VOSS APTS
145 n 84th st,Outside Villages,12 UNIT APT
424 n 85th st,Greenwood-Phinney Ridge,SAPPHIRE CONDOMINIUM
211 summit ave e,Capitol Hill,PARK SUMMIT PH 01 CONDOMINIUM
606 e thomas st,Capitol Hill,SAN REMO APT
1323 boren ave,First Hill,BOLERO CONDOMINIUM
7914 densmore ave n,Outside Villages,ROSECREST APT
3040 nw market st,Ballard,LOCKHAVEN APTS
2244 13th ave w,Outside Villages,QUEEN ANNE OCEAN VIEW CONDOMINIUM
1814 minor ave,Denny Triangle,ARION COURT
2900 1st ave,Belltown,TWENTY NINE HUNDRED ON FIRST
1735 dexter ave n,Outside Villages,THE SUMMIT: BLDG C
2204 1st ave,Belltown,DONALD HOTEL & RETAIL
3019 3rd ave w,Outside Villages,DAVIS APTS
2600 2nd ave,Belltown,SEATTLE HEIGHTS CONDOMINIUM
1717 5th ave n,Outside Villages,1717 5TH AVENUE N CONDOMINIUM
500 elliott ave w,Uptown,500 ELLIOTT HOMES CONDOMINIUM
3421 14th ave w,Outside Villages,APARTMENT BLDG 11 UNITS
411 boylston ave e,Capitol Hill,GLEN RAY CONDOMINIUM
1233 taylor ave n,Outside Villages,EDEN COURT APTS
3700 26th pl w,Outside Villages,QUARTERDECK CONDOMINIUM
715 1st ave w,Uptown,LEONARD APT
1013 aurora ave n,Uptown,10 UNIT APARTMENT
1753 nw 57th st,Ballard,APARTMENTS
12334 33rd ave ne,Lake City,MULTI RES
2237 n 106th st,Northgate,NORTH COURT APTS
717 e denny way,Capitol Hill,CAPITOL CREST
711 belmont pl e,Capitol Hill,BELLEMORAL APARTMENTS
3200 ne 137th st,Outside Villages,PARASHAR APT'S
6301 65th ave ne,Outside Villages,RADFORD COURT APARTMENTS
4544 7th ave ne,University District Northwest,HOUSING AUTHORITY
2400 e union st,23rd & Union-Jackson,TOWNHOUSE S.H.A.
2032 yale ave e,Eastlake,TWELVE UNIT APT
12349 roosevelt way ne,Outside Villages,WINDSONG CONDOMINIUM
5236 22nd ave ne,Ravenna,UNIVERSITY VIEW APARTMENTS
2251 ne 53rd st,Ravenna,18 UNIT APT
2234 eastlake ave e,Eastlake,Vinemaple
10740 8th ave ne,Northgate,MCGUIRE COURT APTS
4721 19th ave ne,University District Northwest,MULTIPLE RES
709 boylston ave e,Capitol Hill,APARTMENT
7000 woodlawn ave ne,Green Lake,GREEN LAKE CONDOMINIUM
1305 e madison st,12th Avenue,PARK HILL APTS
3311 ne 65th st,Outside Villages,11 UNIT APT
309 16th ave e,Capitol Hill,VANLANDINGHAM APTS
308 ne 45th st,Wallingford,GOLDEN PINES
12035 32nd ave ne,Lake City,SANDE FJORD CONDOMINIUM
2220 eastlake ave e,Eastlake,CASA ANITA (0005) CONDOMINIUM
3035 ne 130th st,Lake City,CASA VILLA APTS
1628 bellevue ave,Pike/Pine,THE ANSONIA
1737 belmont ave,Capitol Hill,GRANDBERG APTS
1802 17th ave,Capitol Hill,FRED LIND MANOR
1717 12th ave,Capitol Hill,Towne Apt
1723 summit ave,Capitol Hill,ALHAMBRA
11032 lake city way ne,Outside Villages,MEADOWBROOK VIEW FAMILY HOUSING
3032 ne 140th st,Outside Villages,APARTMENT BLDG (26 UNITS)
7001 sand point way ne,Outside Villages,SEVENTY-O-ONE CONDOMINIUM
7750 15th ave ne,Outside Villages,MAPLE LEAF SOUTH APTS
1610 belmont ave,Pike/Pine,"PRESS, THE"
322 belmont ave e,Capitol Hill,BELMONT OFF BROADWAY CONDOMINIUM
1023 e pike st,Pike/Pine,APTS&SUNDANCE TAVERN
4016 8th ave ne,University District Northwest,PORTAGE BAY APTS
2032 43rd ave e,Outside Villages,Buchan Apts
417 e pine st,Pike/Pine,PORTOFINO CONDOMINIUM
1516 e pike st,Capitol Hill,MADISON HEIGHTS CONDOMINIUM
1133 18th ave,Outside Villages,20 UNIT APT
1600 18th ave,Madison-Miller,PONDEROSA APTS
531 malden ave e,Capitol Hill,CORNELL APTS
1729 12th ave,Capitol Hill,ROOSEVELT APARTMENTS
1002 e denny way,Capitol Hill,ASHTON APTS
4054 ne 55th st,Outside Villages,HAWTHORNE MANOR APTS
3540 ne 110th st,Outside Villages,SAINT ANN NURSING AND REHAB CENTER
3019 ne 143rd st,Outside Villages,6 UNIT & 5 UNIT APT BLDGS
424 19th ave e,Madison-Miller,LANGSTON HOUSE
233 14th ave e,Capitol Hill,"BERING, THE CONDOMINIUM"
2046 franklin ave e,Eastlake,THE BRONS
526 14th ave e,Capitol Hill,ANDREWS APARTMENT & 4-PLEX
4233 9th ave ne,University District Northwest,KELSEY APARTMENTS
1818 harvard ave,Capitol Hill,APT
2040 43rd ave e,Outside Villages,LAKESIDE WEST CONDOMINIUM
427 bellevue ave e,Capitol Hill,MARTHA LEE APTS
602 melrose ave e,Capitol Hill,WESTVIEW APT
509 bellevue ave e,Capitol Hill,CATALINA APTS
4120 11th ave ne,University District Northwest,CLIFTON APARTMENTS
4131 11th ave ne,University District Northwest,COLLEGE PLACE APARTMENTS
12702 15th ave ne,Outside Villages,PINEHURST COURT
316 bellevue ave e,Capitol Hill,Bel 15
510 e thomas st,Capitol Hill,APARTMENT
600 e denny way,Capitol Hill,THE BONNEVILLE APT
4550 11th ave ne,University District Northwest,AVA UNIVERSITY DISTRICT APARTMENTS
1213 e union st,12th Avenue,Arnold R. Berkey House
11521 26th ave ne,Outside Villages,MARK TRACY APTS - 15 UNITS
5260 15th ave ne,University District Northwest,UNIVERSITY COURT
4220 8th ave ne,University District Northwest,APARTMENT
526 belmont ave e,Capitol Hill,EUGENE APTS
4128 12th ave ne,University District Northwest,APT
9400 ravenna ave ne,Outside Villages,APARTMENT
2703 e union st,Outside Villages,APARTMENT
2700 ne 125th st,Lake City,VILLAGER APARTMENTS
600 summit ave e,Capitol Hill,APARTMENT
512 boylston ave e,Capitol Hill,GLEN ARMS
604 11th ave e,Capitol Hill,MERCER MANOR APTS
1119 ne 43rd st,University District Northwest,ROBERTA APARTMENTS
420 melrose ave e,Capitol Hill,420 MELROSE CONDOMINIUM
5263 15th ave ne,University District Northwest,14 UNIT APT BLDG
507 ne northgate way,Northgate,507 NORTHGATE
532 belmont ave e,Capitol Hill,WINDSOR ARMS APTS
6559 35th ave ne,Outside Villages,"THEODORA, THE"
412 bellevue ave e,Capitol Hill,BELLEVUE MANOR
220 belmont ave e,Capitol Hill,ROSELAWN APARTMENTS
5000 25th ave ne,Ravenna,NORDHEIM CT/ BLAKELEY VILLAGE
601 14th ave e,Capitol Hill,APREA VIEW
6534 4th ave ne,Green Lake,11 UNIT APT
2230 n 106th st,Northgate,PACIFICA APTS
1000 e boston st,Outside Villages,Bostonian
1820 24th ave,Madison-Miller,MADISON VIEW CONDOMINIUM
2714 fairview ave e,Eastlake,ANCHOR HOUSE APT
2525 minor ave e,Eastlake,MINOR TOWER 34 UNIT
117 20th ave e,Madison-Miller,Bismark
4719 15th ave ne,University District Northwest,RIVENDELL APTS
1404 25th ave,Outside Villages,Crawford House Apts
112 bellevue ave e,Capitol Hill,THE ILIAD
1038 ne 125th st,Outside Villages,APT
220 ne 65th st,Green Lake,RIVENDELL APTS
1101 17th ave,Outside Villages,MAYFAIR MANOR CONDOMINIUM
2034 minor ave e,Eastlake,APT
5201 22nd ave ne,Ravenna,UNIVERSITY PLACE CONDOMINIUM
1716 boylston ave,Capitol Hill,Hollywood Court
11223 8th ave ne,Northgate,NORTHGATE VIEW #3
6561 4th ave ne,Green Lake,WAILEE APT
430 ne maple leaf pl,Green Lake,12 UNIT APT
432 ne ravenna blvd,Green Lake,RAVENNA GREENLAKE
2800 ne 55th st,Outside Villages,APT
2020 minor ave e,Eastlake,2020 At Lake Union
535 16th ave e,Capitol Hill,Wellington
1111 10th ave e,Outside Villages,ST HENRY HOUSE CONDOMINIUM
9710 5th ave ne,Northgate,WESTBURY TERRACE CONDOMINIUM
1733 belmont ave,Capitol Hill,DEL PRADO APTS
9800 5th ave ne,Northgate,OLYMPIC VIEW APTS
92 e lynn st,Eastlake,LINDA VISTA APT
12509 35th ave ne,Lake City,CARLYNN APTS
717 belmont ave e,Capitol Hill,BELMONT TERRACE
2300 24th ave e,Outside Villages,Montlake Apartments
230 14th ave e,Capitol Hill,GOLDEN INCA APARTMENTS
1068 e thomas st,Capitol Hill,APARTMENT
1511 e madison st,Capitol Hill,FENTON APTS
11300 5th ave ne,Northgate,NORTHLANE APTS
1120 17th ave,Outside Villages,BETSY ROSS CONDOMINIUM
1629 harvard ave,Pike/Pine,LENAWEE APTS
1414 e howell st,Capitol Hill,APT
1909 franklin ave e,Eastlake,VILLA APT
1401 e harrison st,Capitol Hill,KINGSHIRE APT
2141 n 113th st,Northgate,11 UNIT APT BLDG
1615 19th ave e,Madison-Miller,VIEWS AT MADISON 2 THE
1004 belmont ave e,Outside Villages,Lakeview Place
1501 17th ave,Capitol Hill,COUNCIL HOUSE
1628 41st ave e,Outside Villages,21 UNIT APT
10215 lake city way ne,Outside Villages,NORTHBROOK PLACE
1711 12th ave,Capitol Hill,1711 12th
521 summit ave e,Capitol Hill,NOB HILL CONDOMINIUM
1500 e madison st,Capitol Hill,The Pearl Apartments
845 bellevue pl e,Capitol Hill,THE ROUNDCLIFFE
920 ne 63rd st,Roosevelt,ACTON APTS
1821 harvard ave,Capitol Hill,LA ROCHELLE
1816 eastlake ave e,Eastlake,MARILYN APTS
903 union st,First Hill,CAMBRIDGE APTS (LOW INCOME)
3310 e spring st,Outside Villages,Bowling Green
1020 university st,First Hill,1020 UNIVERSITY APT
4315 9th ave ne,University District Northwest,MICHELLE APARTMENTS
931 11th ave e,Outside Villages,HIGHLAND(0005) CONDOMINIUM
8716 sand point way ne,Outside Villages,TRIPLEX & TWO 4-PLEXES
14040 15th ave ne,Outside Villages,EXECUTIVE ESTATES - BLDG E
516 bellevue ave e,Capitol Hill,AMHERST APT
1740 ne 86th st,Outside Villages,LAKESIDE NORTH CONDOMINIUM
505 belmont ave e,Capitol Hill,LAMPLIGHTER THE CONDOMINIUM
1414 e harrison st,Capitol Hill,MOANA APARTMENTS
426 14th ave e,Capitol Hill,APARTMENT
14300 32nd ave ne,Outside Villages,TUSCANY AT LAKE CITY CONDOMINIUM
1512 summit ave,Pike/Pine,SUMMIT ARMS
1412 summit ave,Pike/Pine,MANCHESTER ARMS
403 14th ave e,Capitol Hill,THE DE SELM APTS
4701 24th ave ne,Ravenna,TRAILSIDE APTS
2915 ne 52nd st,Outside Villages,HEARTHSTONE APTS
4145 11th ave ne,University District Northwest,LEE AND LEE APARTMENTS
2328 10th ave e,Outside Villages,CHANCERY THE CONDOMINIUM
8309 5th ave ne,Outside Villages,5TH AVE MANOR APTS
5000 30th ave ne,Outside Villages,TREMEZZO CONDOMINIUM
535 summit ave e,Capitol Hill,535 SUMMIT AVENUE CONDOMINIUM
1203 ne 135th st,Outside Villages,PARKSIDE APARTMENTS
2221 ne 46th st,Ravenna,10 Unity Apt
4225 brooklyn ave ne,University District Northwest,CANTERBURY COURT
4216 12th ave ne,University District Northwest,STARLIGHTER APARTMENTS
4305 roosevelt way ne,University District Northwest,Trinity Apartments
10014 5th ave ne,Northgate,LA ROMARR APT'S
12000 sand point way ne,Outside Villages,SANDPOINT CREST APARTMENTS
4707 40th ave ne,Outside Villages,LAURELCREST RESIDENTIAL PARK CONDOMINIUM
5240 15th ave ne,University District Northwest,UNIV PARK APTS
2827 franklin ave e,Eastlake,FRANKLIN COURT CONDOMINIUM
9061 seward park ave s,Rainier Beach,Lake Wash. Apts.
3401 w government way,Outside Villages,FORT LAWTON PLACE SEA HOUSING AU
2251 nw 59th st,Ballard,AROS APTS
1740 aurora ave n,Outside Villages,CHARTHOUSE PH 01 CONDOMINIUM
10531 aurora ave n,Aurora-Licton Springs,RAINBOW APTS.
527 1st ave n,Uptown,GORDON APT
5450 leary ave nw,Ballard,CANAL STATION NORTH CONDOMINIUM
601 w mercer pl,Uptown,GRANDE THE CONDOMINIUM
555 n 105th st,Outside Villages,555 NORTH 105TH ST. CONDOMINIUM
2642 nw 59th st,Ballard,SALMON BAY VISTA CONDOMINIUM
530 4th ave w,Uptown,IV WEST CONDOMINIUM
3661 phinney ave n,Fremont,CALLISTO CONDOMINIUM
1918 yesler way,23rd & Union-Jackson,MILL STREET CONDOMINIUM
2121 e jefferson st,23rd & Union-Jackson,APT
566 prospect st,Uptown,WINDSOR COURT
3818 s edmunds st,Columbia City,APTS
511 w mercer pl,Uptown,511 WEST MERCER PLACE CONDOMINIUM
1415 6th ave n,Outside Villages,1415 SIXTH AVENUE NORTH
801 pine st,Denny Triangle,TOWER 801 APARTMENTS
919 n 104th st,Aurora-Licton Springs,APTS
4919 phinney ave n,Outside Villages,WOODLAND WEST APTS
104 nw 104th st,Outside Villages,11 UNIT APT
3301 beacon ave s,Outside Villages,CRANMORE APTS
1401 n 45th st,Wallingford,APT/RETAIL
1223 w nickerson st,Outside Villages,CANAL APTS
1216 1st ave w,Upper Queen Anne,HIGHLAND COURT-QUEEN ANNE
522 w mercer pl,Uptown,MERCER PLACE CONDOMINIUM
2450 dexter ave n,Outside Villages,SUNRISE MANOR 2450 CONDOMINIUM
7338 martin luther king jr way s,Othello,10 UNIT APT
4420 36th ave s,Columbia City,APARTMENTS
615 boren ave,First Hill,OLD COLONY CONDOMINIUM
2249 13th ave w,Outside Villages,SHAMROCK APARTMENTS
4116 fremont ave n,Outside Villages,10-UNIT APT
1000 1st ave w,Outside Villages,26 UNIT
1410 nw 59th st,Ballard,10 UNIT APT
114 28th ave,Outside Villages,APARTMENT BLDG 10 UNITS
5282 rainier ave s,Columbia City,DESC Apartment
714 7th ave,First Hill,ZINDORF APTS
910 8th ave,First Hill,"M Street Apts, Retail, & Office"
500 12th ave,12th Avenue,The Jefferson
2401 thorndyke pl w,Outside Villages,THE BLUFF APT
8508 mary ave nw,Crown Hill,CROWN POINT APTS
18 galer st,Outside Villages,FIRST GALER
323 25th ave s,23rd & Union-Jackson,SEATTLE HOUSING AUTHORITY
7532 renton ave s,Othello,GOLDEN SANDS APTS
3927 s pearl st,Columbia City,Columbia Apts (part)
2600 1st ave,Belltown,NEW PACIFIC APARTMENTS/ BLACK BOTTLE
120 westlake ave n,South Lake Union,ROLLIN STREET
1167 republican st,South Lake Union,Casa Pacifica
400 w roy st,Outside Villages,DELPHIAN APTS
1505 13th ave s,Outside Villages,ATLANTIC APTS
1550 12th ave s,Outside Villages,11 UNIT
4911 s rose st,Rainier Beach,SEWARD PARK APTS
5201 42nd ave s,Columbia City,CRESCENT APTS
6201 22nd ave nw,Ballard,BAL AIRE COURT APTS
1000 aurora ave n,South Lake Union,ALTERRA CONDOMINIUM  PH 1 & 2
2304 2nd ave,Belltown,2nd & Bell Bldg
809 olive way,Denny Triangle,The Olivian
14307 greenwood ave n,Outside Villages,GREENWOOD PLACE
766 garfield st,Outside Villages,LAKE UNION TOWER
1737 nw 56th st,Ballard,THE LANDMARK
2056 nw market st,Ballard,Ballard Court Apartment
525 minor ave n,South Lake Union,PETE GROSS HOUSE APTS
1324 w emerson st,Outside Villages,QUEEN ANNE NORTH CONDOMINIUM
2307 e fir st,23rd & Union-Jackson,APT
900 warren ave n,Outside Villages,HIGHLAND QUEEN ANNE CONDOMINIUM
4238 evanston ave n,Outside Villages,APARTMENT
6112 rainier ave s,Outside Villages,Spencer Apts
