address,neighborhood,building_name
420 13th ave e,Capitol Hill,NORMANDY ARMS APTS
5200 ballard ave nw,Ballard,JUNCTION BUILDING (MACLEOD'S)
5227 leary ave nw,Ballard,CURTIS BLDG
3033 ne 140th st,Outside Villages,APARTMENT BLDG (11 UNITS)
421 ne 73rd st,Green Lake,ROSELAKE APTS
844 ne 69th st,Roosevelt,HANDEL APTS
546 ne ravenna blvd,Green Lake,13 UNIT APT
5625 15th ave ne,Outside Villages,PONDERAY APTS
1201 summit ave,First Hill,CASCADE COURT
1917 eastlake ave e,Eastlake,ABBEY PARK APTS
1200 boylston ave,First Hill,MANHATTAN CONDOMINIUM
1215 dexter ave n,South Lake Union,Dexter Lake Union
1722 e thomas st,Madison-Miller,YONKERS APTS
5033 brooklyn ave ne,University District Northwest,APARTMENT
5612 university way ne,Outside Villages,APARTMENT
2415 western ave,Belltown,Berkshire on Elliott
420 vine st,Belltown,THE DAVENPORT
2233 1st ave,Belltown,VOLTA
1713 belmont ave,Capitol Hill,"SFR - Capitol Hill Inn, bed & breakfast"
2402 ne 65th st,Outside Villages,SAXE APTS
2027 eastlake ave e,Eastlake,Lakeside Apts
100 e boston st,Eastlake,BOSTON APTS
5043 brooklyn ave ne,University District Northwest,THE DEN on Brooklyn Apartments
3901 1st ave nw,Fremont,THIRTY NINE 01 CONDOMINIUM
4235 francis ave n,Outside Villages,ST. FRANCIS APTS
535 17th ave e,Outside Villages,BERNEVA APTS
1420 boren ave,Pike/Pine,EMBASSY APARTMENTS
950 n 107th st,Aurora-Licton Springs,APT
2348 fairview ave e,Eastlake,FAIRVIEW VISTA CONDOMINIUM
100 melrose ave e,Capitol Hill,DENNY TERRACE
2317 10th ave e,Outside Villages,ALLENDALE APT
109 23rd ave e,Madison-Miller,ELIZABETH JAMES HOUSE
731 broadway,Capitol Hill,MORGAN CONDOMINIUM
2100 n 106th st,Northgate,MERIDIAN 106 CONDOS CONDOMINIUM
10301 greenwood ave n,Outside Villages,JEFFERSON COURT
1735 dexter ave n,Outside Villages,THE SUMMIT(Bldg A)
1110 e john st,Capitol Hill,21-UNIT APT
1625 e madison st,Capitol Hill,THE MADKIN
1707 boylston ave,Capitol Hill,SEVENTEEN07
7000 roosevelt way ne,Roosevelt,17 UNIT APT
13717 linden ave n,Bitter Lake Village,LINDEN PARK CONDOMINIUM
3843 fremont ave n,Fremont,WOODLAWN SOUTH APTS
3645 whitman ave n,Fremont,BRIDGE VISTA APARTMENTS
3506 ne 95th st,Outside Villages,CASCADE VIEW APARTMENTS
14314 32nd ave ne,Outside Villages,10 UNIT APT
1633 melrose ave,Pike/Pine,SHERWOOD APTS
1408 e union st,12th Avenue,THE CHLOE 14TH & UNION APARTMENTS
2601 eastlake ave e,Eastlake,APARTMENT
1815 15th ave,Capitol Hill,LANSDOWNE MANOR APTS
6410 8th ave ne,Roosevelt,APT
730 bellevue ave e,Capitol Hill,LA PERGOLA CONDOMINIUM
4225 9th ave ne,University District Northwest,THE SHANNON
4262 8th ave ne,University District Northwest,Cedar Apts
510 ne 98th st,Northgate,VIEW CREST APTS
1114 e olive st,Capitol Hill,FOURPLEX & APT
13521 linden ave n,Bitter Lake Village,PARK PLAZA CONDOMINIUM
6300 32nd ave nw,Outside Villages,SKANDIA WEST CONDOMINIUM
4119 e blaine st,Outside Villages,Mason Apts
1430 34th ave,Outside Villages,Apartments and Restaurant (Dulces Latin Bistro)
2601 w manor pl,Outside Villages,Overlook at Magnolia (Bldg #2)
2858 32nd ave w,Outside Villages,MAGNOLIA VILLAGER CONDOMINIUM
12040 28th ave ne,Lake City,BALDWIN APTS
1323 e pine st,Pike/Pine,CHESTER APTS & STORES
906 n 96th st,Aurora-Licton Springs,10 UNITS APARTMENT
523 e denny way,Capitol Hill,WHITE HOUSE APTS
915 e harrison st,Capitol Hill,42-UNIT APT ELLENBERT APTS
1529 boylston ave,Pike/Pine,The Recherche
1736 belmont ave,Capitol Hill,THE GRANADA APTS
4144 11th ave ne,University District Northwest,CRISCO APTS
3901 2nd ave ne,Outside Villages,THE PACIFIC
2250 nw 58th st,Ballard,BAYVIEW BALLARD CONDOMINIUM
1000 queen anne ave n,Outside Villages,FAIRVIEW APTS
942 19th ave e,Outside Villages,RADCLIFFE
5525 university way ne,University District Northwest,"MIXED USE APT. RETAIL, WITH PARKING BASEMENT"
1400 boren ave,Pike/Pine,OXFORD CREST APT
231 26th ave e,Outside Villages,27 UNIT APARTMENT
700 broadway e,Capitol Hill,700 Broadway
501 summit ave e,Capitol Hill,LORELEI APT
515 e denny way,Capitol Hill,CARA VELLE APTS
515 14th ave e,Capitol Hill,GRESHAM APTS
4717 24th ave ne,Ravenna,TRAILSIDE APTS
1113 ne 42nd st,University District Northwest,10 UNIT APTS
309 e harrison st,Capitol Hill,ST INGBERT APTS
520 bellevue ave e,Capitol Hill,DUMAR APARTMENTS
600 bellevue ave e,Capitol Hill,Bella Vista
621 harvard ave e,Capitol Hill,CIRQUE APTS
13341 15th ave ne,Outside Villages,JACKSON GREENS APTS
11745 15th ave ne,Outside Villages,THE PINEHURST APTS
5130 40th ave ne,Outside Villages,Ronald McDonald House
10000 5th ave ne,Northgate,NORTH VISTA APT'S
11039 17th ave ne,Outside Villages,AEGIS - SENIOR INN AT NORTHGATE
1616 41st ave e,Outside Villages,PARK LANE THE CONDOMINIUM
503 e thomas st,Capitol Hill,VARICK APT & DUPLEX
5249 40th ave ne,Outside Villages,HAWTHORNE HOUSE
2300 ne 65th st,Outside Villages,VARSITY APTS
1100 university st,First Hill,PANORAMA HOUSE APTS
7201 6th ave ne,Green Lake,THE SIXTH AVE APTS
5210 12th ave ne,University District Northwest,GALBRAITH APARTMENTS
4718 11th ave ne,University District Northwest,APT
2501 canterbury ln e,Outside Villages,CANTERBURY SHORES CONDOMINIUM
3055 ne 140th st,Outside Villages,MAR-ELLA APTS
5644 university way ne,Outside Villages,UNIVERSITY PARK APTS
1555 lakeview blvd e,Outside Villages,LAKE VIEW APARTMENTS
5240 university way ne,University District Northwest,Muriel's Landing
2901 franklin ave e,Eastlake,L' AMOURITA CO-OP
2316 ne 65th st,Outside Villages,Varsity Court Apts
2355 eastlake ave e,Eastlake,YATES APTS
1642 melrose ave,Pike/Pine,MELROSE COURT
1712 summit ave,Capitol Hill,HOTEL DE ANGLE TERRE
4523 8th ave ne,University District Northwest,
8415 5th ave ne,Outside Villages,GUILLEMOT CONDOMINIUM
1808 e thomas st,Madison-Miller,11 Unit Apartment
701 e pike st,Pike/Pine,MILLER - WARNER APTS
2112 e thomas st,Madison-Miller,EAST THOMAS STREET  CONDOS CONDOMINIUM
1821 e mercer st,Madison-Miller,1821-E MERCER
1515 bellevue ave e,Pike/Pine,LOUIS ARMS APT
1736 summit ave,Capitol Hill,SUMMIT VISTA
2000 43rd ave e,Outside Villages,MADISON PARK PLACE CONDOMINIUM
201 17th ave e,Capitol Hill,BUCKLEY APTS
12520 roosevelt way ne,Outside Villages,PARK VIEW APTS
11002 35th ave ne,Outside Villages,27 UNIT APT
400 e union st,Pike/Pine,UNION PLAZA
2228 yale ave e,Eastlake,2228 YALE CONDOMINIUM
1511 boylston ave,Pike/Pine,GLENCOE APTS
1712 belmont ave,Capitol Hill,ROOMING HOUSE & SFR
1727 summit ave,Capitol Hill,PENTHOUSE APTS
3052 ne 137th st,Outside Villages,SEATTLE HOUSING AUTHORITY
6900 e green lake way n,Green Lake,Circa Green Lake
1530 12th ave,Pike/Pine,The Packard Building
1410 e howell st,Capitol Hill,APARTMENTS
1122 10th ave e,Outside Villages,LA TOSCANE CONDOMINIUM
3905 4th ave ne,Outside Villages,SEVILLE THE CONDOMINIUM
500 e union st,Pike/Pine,APARTMENT
1726 summit ave,Capitol Hill,CURBEN HOTEL APTS
303 harvard ave e,Capitol Hill,BEVERLY RAE APTS
2245 eastlake ave e,Eastlake,Eastlake Lofts
1805 bellevue ave e,Capitol Hill,1805 BELLEVUE CONDOMINIUM
956 18th ave e,Outside Villages,Montrachet
2419 e madison st,Madison-Miller,MADISON PARKVIEW CONDOMINIUM
1504 18th ave,Outside Villages,8 unit apt house  & 2 SFR
8623 roosevelt way ne,Outside Villages,A PLACE OF OUR OWN
750 belmont ave e,Capitol Hill,BELMONT COURT CONDOMINIUM
12315 28th ave ne,Lake City,GLADSTONE APTS - 32 UNITS
1530 11th ave,Pike/Pine,SUNSET ELECTRIC APARTMENTS
1026 ne 65th st,Roosevelt,DWELL ROOSEVELT CONDOMINIUM
1825 harvard ave,Capitol Hill,Harvard Ave Apts
1620 broadway,Pike/Pine,The Broadway on Broadway
121 14th ave e,Capitol Hill,16-UNIT APTS
111 14th ave e,Capitol Hill,TUDOR MANOR CONDOMINIUM
1103 16th ave,Outside Villages,SFR - BRANCH MANOR
2410 boyer ave e,Outside Villages,FOUR SEASONS
10001 5th ave ne,Northgate,ALJOYA THORNTON PLACE
